Rk,Player,Tm,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed,-9999
88,CJ McCollum,ATL,$21000000,,,,,,$21000000,mccolcj01
89,Josh Hart,NYK,$20923760,$22375280,,,,,$20923760,hartjo01
90,Peyton Watson,CLE,$20465116,$21488372,$22511628,$23534884,,,$64465116,watsope01
91,Kyle Kuzma,MIL,$20345152,,,,,,$20345152,kuzmaky01
92,Ivica Zubac,IND,$20342140,$21790300,,,,,$42132440,zubaciv01
93,Malik Monk,SAC,$20190035,$21582451,,,,,$20190035,monkma01
94,Shaedon Sharpe,POR,$20089287,$21696429,$23303571,$24910713,,,$90000000,sharpsh01
95,Dillon Brooks,PHO,$19992727,$22530864,$24333333,$26135802,,,$92992726,brookdi01
96,P.J. Washington,DAL,$19813044,$21398088,$22983132,$24568176,,,$88762440,washipj01
97,Alex Caruso,OKC,$19550160,$20998320,$22446480,,,,$62994960,carusal01
98,Andrew Nembhard,IND,$19550160,$20998320,,,,,$40548480,nembhan01
99,Kristaps Porziņģis,GSW,$19512195,$20487805,,,,,$19512195,porzikr01
100,Jakob Poeltl,TOR,$19500000,$27300000,$29484000,$27300000,,,$76284000,poeltja01
101,Bradley Beal,PHO,$25807810,$26129050,$19383010,$19383010,,,$77532040,bealbr01
102,Ayo Dosunmu,MIN,$19310345,$20855173,$22400001,$23944829,$25489652,,$86510348,dosunay01
103,Luguentz Dort,ATL,$18222222,,,,,,$18222222,dortlu01
104,Grayson Allen,CHO,$18125000,$19375000,,,,,$18125000,allengr01
105,Wendell Carter Jr.,ORL,$18102000,$19550160,$20998320,,,,$37652160,cartewe01
106,Toumani Camara,POR,$18080358,$19526786,$20973214,$22419642,,,$81000000,camarto01
107,Patrick Williams,CHI,$18000000,$18000000,$18000000,,,,$36000000,willipa01
108,Kentavious Caldwell-Pope,MEM,$20194392,,,,,,$17744971,caldwke01
109,Keldon Johnson,SAS,$17500000,,,,,,$17500000,johnske04
110,Klay Thompson,DAL,$23060317,$5880000,,,,,$17460317,thompkl01
111,Daniel Gafford,DAL,$17263584,$18126763,$18989942,,,,$54380289,gaffoda01
112,Santi Aldama,DAL,$17007043,$17007043,,,,,$17007043,aldamsa01
113,John Collins,DET,$17000000,$17000000,$17000000,,,,$17000000,collijo01
114,Victor Wembanyama,SAS,$16868246,$43500000,$46980000,$50460000,$53940000,$57420000,$211748246,wembavi01
115,Max Strus,LAC,$16660836,,,,,,$16660836,strusma01
116,Nikola Jović,MIA,$16200000,$14904000,$15096000,$16200000,,,$62400000,jovicni01
117,Onyeka Okongwu,ATL,$16120000,$16880000,,,,,$33000000,okongon01
118,Duncan Robinson,DET,$15992957,$15151222,,,,,,robindu01
119,Terance Mann,BRK,$15500000,$16000000,,,,,$31500000,mannte01
120,Gary Trent Jr.,MIL,$15200000,$16400000,$16400000,$16000000,,,$64000000,trentga02
121,Brandon Miller,CHO,$15104626,,,,,,$15104626,millebr02
122,Mitchell Robinson,BOS,$15044000,$15796200,$16548400,,,,$47388600,robinmi01
123,Tobias Harris,SAS,$15044000,$15796200,,,,,$30840200,harrito02
124,Obi Toppin,IND,$15000000,$16025000,,,,,$31025000,toppiob01
125,Isaiah Stewart,MEM,$15000000,$15000000,,,,,$15000000,stewais01
126,Herbert Jones,NOP,$14898786,$20858300,$22526964,$24195628,,,$58284050,joneshe01
127,Caris LeVert,MIL,$14809200,,,,,,$14809200,leverca01
128,Dennis Schröder,CHO,$14809200,$15514400,,,,,$14809200,schrode01
129,AJ Dybantsa,WAS,$14748000,$15485760,$16223040,$20457254,,,$30233760,dybanaj01
130,Josh Green,MIN,$14679012,,,,,,$14679012,greenjo02
131,Bobby Portis,MIA,$14521414,$15597074,,,,,$14521414,portibo01
132,Cooper Flagg,DAL,$14517480,$15208680,$19178146,,,,$14517480,flaggco01
133,Nickeil Alexander-Walker,ATL,$14403710,$15161800,$15919890,,,,$29565510,alexani01
134,Grant Williams,CHO,$14265750,,,,,,$14265750,willigr01
135,Jock Landale,ATL,$14100000,,,,,,$14100000,landajo01
136,Tari Eason,HOU,$14051724,$15175862,$16300000,$17424138,$18548276,,$62951724,easonta01
137,Rui Hachimura,LAC,$14000000,$14000000,,,,,$14000000,hachiru01
138,Corey Kispert,ATL,$13975000,$13050000,$13050000,,,,$27025000,kispeco01
139,Robert Williams,POR,$13968254,$14666667,$15365079,,,,$18968254,williro04
140,Quentin Grimes,LAL,$13953489,$14651163,$15348837,$16046511,,,$43953489,grimequ01
141,Julian Champagnie,SAS,$13888889,$15000000,$16111111,,,,$45000000,champju02
142,Zaccharie Risacher,DAL,$13826040,$17434637,,,,,$13826040,risacza01
143,Scoot Henderson,POR,$13585523,,,,,,$13585523,hendesc01
144,Damian Lillard,POR,$35915403,$36620603,$22516603,$22516603,,,$13398800,lillada01
145,Dorian Finney-Smith,CHO,$13335000,$13335000,$13335000,,,,$26670000,finnedo01
146,Darryn Peterson,UTA,$13195320,$13855320,$14515320,$18318335,,,$27050640,peterda02
147,Deni Avdija,POR,$13125000,$11875000,,,,,$25000000,avdijde01
148,Sandro Mamukelashvili,LAL,$13000000,$12350000,$13000000,$13650000,,,$38350000,mamuksa01
149,Steven Adams,HOU,$13000000,$11869566,,,,,$24869566,adamsst01
150,Dylan Harper,SAS,$12989040,$13607760,$17172994,,,,$12989040,harpedy01
151,Donte DiVincenzo,MIN,$12535000,,,,,,$12535000,divindo01
152,Moses Moody,GSW,$12500000,$13425925,,,,,$25925925,moodymo01
153,Brandon Clarke,MEM,$12500000,,,,,,$12500000,clarkbr01
154,Jarred Vanderbilt,LAL,$12428571,$13285714,,,,,$12428571,vandeja01
155,Davion Mitchell,MIA,$12400000,,,,,,$12400000,mitchda01
156,Alex Sarr,WAS,$12370680,$15611798,,,,,$12370680,sarral01
157,Amen Thompson,HOU,$12258609,,,,,,$12258609,thompam01
158,Cameron Boozer,MEM,$11849760,$12441840,$13034880,$16476089,,,$24291600,boozeca02
159,Isaac Okoro,CHI,$11814814,,,,,,$11814814,okorois01
160,Mark Williams,PHO,$11728395,$12666667,$13604938,,,,$38000000,willima07
161,VJ Edgecombe,PHI,$11663880,$12219720,$15445727,,,,$11663880,edgecvj01
162,Isaiah Joe,DET,$11323006,$11323006,,,,,$11323006,joeis01
163,Ausar Thompson,DET,$11117925,,,,,,$11117925,thompau01
164,Reed Sheppard,HOU,$11108880,$14041625,,,,,$11108880,sheppre01
165,Aaron Nesmith,IND,$11000000,$19418000,$20971440,,,,$51389440,nesmiaa01
166,T.J. McConnell,IND,$11000000,$11800000,$11800000,,,,$22800000,mccontj01
167,Royce O'Neale,CHO,$10875000,$11625000,,,,,$22500000,onealro01
168,Sam Hauser,BOS,$10848215,$11651785,$12455356,,,,$34955356,hausesa01
169,Collin Gillespie,PHO,$10714286,$11571429,$12428571,$13285714,,,$48000000,gilleco01
170,Caleb Wilson,CHI,$10683720,$11217960,$11752320,$14866685,,,$21901680,wilsoca01
171,Jusuf Nurkić,UTA,$10576923,$11423077,,,,,$22000000,nurkiju01
172,Kon Knueppel,CHO,$10516560,$11017560,$13937214,,,,$10516560,knuepko01
173,Derrick Jones Jr.,LAC,$10476190,,,,,,$10476190,jonesde02
174,Luke Kornet,SAS,$10450000,$9900000,$9350000,,,,$13000000,kornelu01
175,Anthony Black,ORL,$10106316,,,,,,$10106316,blackan01
176,A.J. Green,MIL,$10044644,$10848215,$11651786,$12455355,,,$45000000,greenaj01
177,Stephon Castle,SAS,$10015920,$12670139,,,,,$10015920,castlst01
178,Caleb Martin,DAL,$10001493,$9371351,,,,,$10001493,martica02
179,Day'Ron Sharpe,BRK,$10000000,$10000000,,,,,$10000000,sharpda01
180,Keaton Wagler,LAC,$9674760,$10158240,$10641960,$13483364,,,$19833000,wagleke01
181,Buddy Hield,ATL,$9658536,$10097560,,,,,$9658536,hieldbu01
182,Ace Bailey,UTA,$9523080,$9976560,$12640302,,,,$9523080,baileac01
183,Naji Marshall,DAL,$9428571,$18195600,$17285820,$16376040,,,$61286031,marshna01
184,Jalen Smith,CHI,$9428571,,,,,,$9428571,smithja04
185,Collin Sexton,LAL,$9366000,$9834300,,,,,$19200300,sextoco01
186,Moritz Wagner,BRK,$9268293,$9731707,,,,,$9268293,wagnemo01
187,Bilal Coulibaly,WAS,$9240012,,,,,,$9240012,coulibi01
188,Aaron Wiggins,ATL,$9224300,$8345797,$8345797,,,,$17570097,wiggiaa01
189,Ty Jerome,MEM,$9220050,$9659100,,,,,$9220050,jeromty01
190,Brook Lopez,LAC,$9187500,,,,,,$9187500,lopezbr01
191,Sam Merrill,CLE,$9160715,$9839285,$10517856,,,,$29517856,merrisa01
192,Ron Holland,DET,$9069600,$11491183,,,,,$9069600,hollaro01
193,Dean Wade,PHI,$9000000,$9450000,$9900000,$10350000,,,$30000000,wadede01
194,Mikel Brown Jr.,BRK,$8787000,$9226440,$9666000,$12256488,,,$18013440,brownmi02
195,Keon Ellis,BRK,$8780488,$9219512,,,,,$8780488,elliske01
196,Tre Johnson,WAS,$8649600,$9061680,$11490211,,,,$8649600,johnstr03
197,Jarace Walker,IND,$8478542,,,,,,$8478542,walkeja02
198,Kevin Huerter,DET,$8333333,$9000000,$9666667,,,,$27000000,huertke01
199,Zach Collins,CHI,$8292683,$8707317,,,,,$17000000,colliza01
200,Quinten Post,MEM,$8285714,$8700000,$9114286,,,,$8285714,postqu01
201,Max Christie,DAL,$8285714,$8857143,,,,,$8285714,chrisma02
202,Tidjane Salaün,CHO,$8237880,$10445633,,,,,$8237880,salauti01
203,Deandre Ayton,WAS,$8104000,,,,,,$8104000,aytonde01
204,Kelly Oubre Jr.,IND,$8050000,$8450000,,,,,$16500000,oubreke01
205,Darius Acuff Jr.,SAC,$8021640,$8422920,$8823600,$11205972,,,$16444560,acuffda01
206,Jonathan Isaac,ORL,$10449421,,,,,,$10449421,isaacjo01
207,Tre Mann,WAS,$8000000,$8000000,,,,,$8000000,manntr01
208,Harrison Barnes,SAS,$8000000,,,,,,$8000000,barneha02
209,Tre Jones,CHI,$8000000,$8000000,,,,,$8000000,jonestr01
210,Jeremiah Fears,NOP,$7896240,$8271960,$10505389,,,,$7896240,fearsje01
211,Taylor Hendricks,MEM,$7805900,,,,,,$7805900,hendrta01
212,Jaylin Williams,OKC,$7774648,$7774648,,,,,$7774648,willija07
213,Payton Pritchard,BOS,$7767857,$8303571,,,,,$16071428,pritcpa01
214,Goga Bitadze,ORL,$7608696,,,,,,$7608696,bitadgo01
215,Donovan Clingan,POR,$7519920,$9550298,,,,,$7519920,clingdo01
216,Zeke Nnaji,DEN,$7466667,$7466667,,,,,$7466667,nnajize01
217,Cason Wallace,OKC,$7420806,,,,,,$7420806,wallaca01
218,Kingston Flemings,ATL,$7348680,$7716120,$8083680,$10282441,,,$15064800,flemiki01
219,Dereck Lively II,DAL,$7239131,,,,,,$7239131,livelde01
220,Egor Dëmin,BRK,$7233720,$7578240,$9639522,,,,$7233720,demineg01
221,Gradey Dick,TOR,$7131511,,,,,,$7131511,dickgr01
222,Clint Capela,HOU,$7035000,$7370000,,,,,$14405000,capelca01
223,Jordan Hawkins,NOP,$7021895,,,,,,$7021895,hawkijo01
224,Isaiah Jackson,LAC,$7000000,$6400000,,,,,$13400000,jacksis01
225,Rob Dillingham,CHI,$6889320,$8763216,,,,,$6889320,dilliro01
226,Al Horford,GSW,$6822000,$7163100,,,,,$13985100,horfoal01
227,Morez Johnson Jr.,DAL,$6754800,$7093080,$7430640,$9466636,,,$13847880,johnsmo01
228,Collin Murray-Boyles,TOR,$6649560,$6966000,$8874684,,,,$6649560,murraco01
229,Keyonte George,UTA,$6563925,,,,,,$6563925,georgke01
230,Tim Hardaway Jr.,MIA,$6500000,,,,,,$6500000,hardati02
231,Saddiq Bey,NOP,$6440678,,,,,,$6440678,beysa01
232,Bradley Beal,LAC,$25807810,$26129050,$19383010,$19383010,,,$6424800,bealbr01
233,Brayden Burries,MIL,$6417360,$6738000,$7058520,$8999614,,,$13155360,burribr01
234,Zach Edey,MEM,$6332760,$8067937,,,,,$6332760,edeyza01
235,Khaman Maluach,PHO,$6316680,$6617160,$8436880,,,,$6316680,maluakh01
236,John Konchar,UTA,$6165000,,,,,,$6165000,konchjo01
237,Yaxel Lendeborg,GSW,$6096240,$6401280,$6706200,$8899128,,,$12497520,lendeya01
238,Luke Kennard,PHO,$6064000,$6367200,,,,,$6064000,kennalu01
239,Marcus Smart,HOU,$6064000,$6367200,,,,,$6064000,smartma01
240,Cody Williams,UTA,$6015600,$7669890,,,,,$6015600,willico04
241,Cedric Coward,MEM,$6001080,$6286920,$8342743,,,,$6001080,cowarce01
242,Spencer Jones,DEN,$6000000,$5750000,,,,,$11750000,jonessp01
243,Jaxson Hayes,UTA,$6000000,$6000000,,,,,$6000000,hayesja02
244,Josh Okogie,UTA,$6000000,$6000000,,,,,$6000000,okogijo01
245,Anfernee Simons,PHI,$6000000,$6300000,,,,,$6000000,simonan01
246,Jake LaRavia,LAL,$6000000,,,,,,$6000000,laravja01
247,Jaden Hardy,LAL,$6000000,$6000000,,,,,$6000000,hardyja02
248,D'Angelo Russell,MEM,$5969250,,,,,,$5969250,russeda01
249,Jaime Jaquez Jr.,MIL,$5939141,,,,,,$5939141,jaqueja01
250,Nicolas Batum,LAC,$5881680,,,,,,,batumni01
251,Jordan Goodwin,PHO,$5864198,$6333333,$6802469,,,,$12197531,goodwjo01
252,Aday Mara,OKC,$5791680,$6081480,$6371160,$8779459,,,$11873160,maraad01
253,Ousmane Dieng,MIL,$5750000,$5750000,$5750000,,,,$11500000,diengou01
254,Matas Buzelis,CHI,$5715360,$7584283,,,,,$5715360,buzelma01
255,Noa Essengue,CHI,$5701200,$5972760,$8230464,,,,$5701200,essenno01
256,Kris Dunn,LAC,$5684800,,,,,,,dunnkr01
257,Brandin Podziemski,GSW,$5679459,,,,,,$5679459,podzibr01
258,Paul Reed,DET,$5602689,,,,,,,reedpa01
259,Klay Thompson,MIA,$23060317,$5880000,,,,,$5600000,thompkl01
260,Khris Middleton,WAS,$5591122,$5870678,$6150234,,,,$6499000,middlkh01
261,Nate Ament,MIL,$5502000,$5777280,$6052200,$8648594,,,$11279280,amentna01
262,Precious Achiuwa,SAC,$5477000,$5750850,,,,,$11227850,achiupr01
263,De'Anthony Melton,GSW,$5477000,$5750850,,,,,$5477000,meltode01
264,Cam Whitmore,CLE,$5458310,,,,,,$5458310,whitmca01
265,Nikola Topić,OKC,$5429760,$7482210,,,,,$5429760,topicni01
266,Derik Queen,NOP,$5416080,$5673840,$8107918,,,,$5416080,queende01
267,Noah Clowney,BRK,$5414034,,,,,,$5414034,clownno01
268,Kevin Porter Jr.,MIL,$5390700,,,,,,$5390700,porteke02
269,Landry Shamet,NYK,$5357143,$5785714,$6214286,$6642857,,,$24000000,shamela01
270,Kris Murray,MEM,$5315004,,,,,,$5315004,murrakr01
271,Jordan Miller,LAC,$5300000,$5000000,$5000000,,,,$5300000,millejo02
272,Hannes Steinbach,CHO,$5227200,$5488560,$5750160,$8515987,,,$10715760,steinha02
273,Marcus Sasser,DAL,$5198983,,,,,,$5198983,sassema01
274,Devin Carter,ATL,$5158080,$7370897,,,,,$5158080,cartede02
275,Carter Bryant,SAS,$5145360,$5390640,$7983539,,,,$5145360,bryanca01
276,Ben Sheppard,IND,$5031669,,,,,,$5031669,sheppbe01
277,Kenrich Williams,OKC,$5000000,,,,,,$5000000,willike04
278,Dailyn Swain,CHI,$4965480,$5213760,$5461920,$8373124,,,$10179240,swainda01
279,Bub Carrington,WAS,$4900560,$7257730,,,,,$4900560,carrica01
280,Thomas Sorber,OKC,$4887720,$5120400,$7849573,,,,$4887720,sorbeth01
281,Brice Sensabaugh,UTA,$4862237,,,,,,$4862237,sensabr01
282,Julian Strawther,DEN,$4826931,,,,,,$4826931,strawju01
283,Bennett Stirtz,OKC,$4717320,$4953240,$5189400,$7960540,,,$9670560,stirtbe01
284,Kel'el Ware,MIL,$4654920,$7135992,,,,,$4654920,wareke01
285,Yang Hansen,POR,$4643520,$4864920,$7462788,,,,$4643520,yangha01
286,Gui Santos,GSW,$4629630,$5000000,$5370370,,,,$9629630,santogu01
287,Jose Alvarado,NYK,$4500000,$4860000,$5220000,,,,$14580000,alvarjo01
288,Josh Minott,BRK,$4500000,$4500000,,,,,$4500000,minotjo01
289,Ebuka Okorie,DET,$4481280,$4705440,$4929360,$7571497,,,$9186720,okorieb01
290,Jared McCain,OKC,$4422600,$6784268,,,,,$4422600,mccaija01
291,Joan Beringer,MIN,$4411200,$4621200,$7098163,,,,$4411200,berinjo01
292,Christian Anderson Jr.,CHO,$4257480,$4470000,$4683120,$7202639,,,$8727480,anderch02
293,Dalton Knecht,LAL,$4201080,$6452860,,,,,$4201080,knechda01
294,Walter Clayton,MEM,$4190520,$4390320,$6752312,,,,$4190520,claytwa01
295,Allen Graves,TOR,$4065720,$4268880,$4472640,$6887866,,,$8334600,graveal01
296,Nolan Traoré,BRK,$4002000,$4193040,$6457282,,,,$4002000,traorno01
297,Ryan Rollins,MIL,$4000000,$4000000,,,,,$4000000,rolliry01
298,Daniss Jenkins,DET,$4000000,,,,,,$4000000,jenkida01
299,Tristan Da Silva,ORL,$3991200,$6138466,,,,,$3991200,dasiltr01
300,Miles McBride,NYK,$3956523,,,,,,$3956523,mcbrimi01
301,Javonte Green,DET,$3943679,,,,,,$3943679,greenja02
302,Jayden Quaintance,SAS,$3902760,$4097880,$4292880,$6619621,,,$8000640,quainja01
303,DeAndre Jordan,NOP,$3876529,$4070355,,,,,$7946884,jordade01
304,LeBron James,PHI,$3876529,$4070355,,,,,$3876529,jamesle01
305,Svi Mykhailiuk,UTA,$3850000,$4025000,,,,,,mykhasv01
306,Kasparas Jakučionis,MIL,$3841680,$4024440,$6205687,,,,$3841680,jakucka01
307,Taurean Prince,DET,$3815861,,,,,,$3815861,princta02
308,Gary Harris,DET,$3815861,,,,,,$3815861,harriga01
309,Pat Connaughton,CHO,$3815861,,,,,,$3815861,connapa01
310,Ja'Kobe Walter,TOR,$3811800,$5870172,,,,,$3811800,walteja01
311,Karim López,MEM,$3746760,$3934320,$4121760,$6565964,,,$7681080,lopezka01
312,Cole Anthony,MEM,$3700000,$3700000,,,,,$7400000,anthoco01
313,Will Riley,WAS,$3688320,$3864000,$6155352,,,,$3688320,rileywi01
314,Jaylon Tyson,CLE,$3658560,$5641500,,,,,$3658560,tysonja01
315,Labaron Philon Jr.,PHI,$3597120,$3776760,$3956760,$6508871,,,$7373880,philola01
316,Drake Powell,BRK,$3540600,$3709320,$6101832,,,,$3540600,poweldr01
317,Yves Missi,NOP,$3512760,$5595827,,,,,$3512760,missiyv01
318,Zuby Ejiofor,ATL,$3453360,$3626160,$3798360,$6445818,,,$7079520,ejiofzu01
319,Dominick Barlow,PHI,$3415000,,,,,,$3415000,barlodo01
320,Ariel Hukporti,PHI,$3400000,,,,,,$3400000,hukpoar01
321,Asa Newell,ATL,$3399480,$3560880,$6042814,,,,$3399480,newelas01
322,DaRon Holmes,DEN,$3372120,$5547138,,,,,$3372120,holmeda01
323,Cameron Carr,LAL,$3315360,$3481080,$3646800,$6378253,,,$6796440,carrca01
324,Mo Bamba,UTA,$3286399,$3681991,,,,,$6968390,bambamo01
325,Nique Clifford,SAC,$3263400,$3418800,$5979481,,,,$3263400,cliffni01
326,AJ Johnson,MEM,$3237120,$5493394,,,,,$3237120,johnsaj01
327,Sergio de Larrea,DAL,$3182280,$3341280,$3500880,$6305086,,,$6523560,delarse01
328,Ron Harper Jr.,BOS,$3150752,$3308290,$3465828,$3779359,,,$6459042,harpero02
329,Jase Richardson,ORL,$3132360,$3282000,$5910882,,,,$3132360,richaja02
330,Kyshawn George,WAS,$3108000,$5435892,,,,,$3108000,georgky01
331,Nassir Little,PHO,$3107143,$3107143,$3107143,,,,$9321429,littlna01
332,Jaylen Clark,MIN,$3086420,$3333334,$3580246,,,,$10000000,clarkja02
333,Tarris Reed Jr.,SAS,$3076920,$3230520,$3384480,$6102218,,,$6307440,reedjta01
334,Ben Saraf,BRK,$3028560,$3172920,$5720776,,,,$3028560,sarafbe01
335,Tarik Biberovic,DAL,$3000000,$3000000,,,,,$3000000,biberta01
336,Kyle Filipowski,UTA,$3000000,$3000000,,,,,,filipky01
